tag,pattern,response
greeting,Hi,Hello there. Tell me how are you feeling today?
greeting,Hey,Hi there. What brings you here today?
greeting,Is anyone there,Hi there. How are you feeling today?
greeting,Hi there,Great to see you. How do you feel currently?
greeting,Hello,Hello there. Glad to see you're back. What's going on in your world right now?
greeting,Hey there,How do you do? Do you have a good day?
greeting,Howdy,Nice to meet you sir
greeting,Hola,Good to see you sir
greeting,Hiya,Hey! Long-time no see. How are you?
greeting,Yo,What's the story?
greeting,Hey chatbot,It's a pleasure to meet you
greeting,Bonjour,It's pleased to meet you
greeting,Konnichiwa,How's your life talk about it.
greeting,Guten tag,Whazzup?
greeting,Ola,How are you feeling today?
greeting,Good Morning,How is your day going?
greeting,Good Afternoon,How has your day been?
greeting,Good Evening,I hope you had a good day
greeting,I really need someone talk to me,How's everything?
greeting,Can you talk to me,How are things?
greeting,Hello are you there,It's been a while. Tell me how's your day.
greeting,Are you there,Good to see you. You can always talk to me.
greeting,Hello chatbot,It's good to see you. You can talk to me.
greeting,Hi chatbot,It's nice to see you. I will here listen to you
greeting,chatbot can you talk to me,I will listen to you here.
goodbye,Bye,See you later.
goodbye,I must be going,Have a nice day.
goodbye,See you later,Bye! Come back again.
goodbye,Goodbye,I'll see you soon.
goodbye,Au revoir,Bye Get some proper sleep.
goodbye,Sayonara,I look forward to our next meeting.
goodbye,ok bye,Have a great rest of your day!
goodbye,Bye then,Have a nice day!
goodbye,Fare thee well,It was a pleasure speaking with you.
goodbye,Talk to you later,It was a pleasure seeing you to you.
goodbye,See you,It was a pleasure talking you to you.
goodbye,See ya,Speak to you then.
goodbye,Good talking to you,Take care.
goodbye,I'm off,See you around.
goodbye,I look forward to our next meeting,Good seeing you!
goodbye,It was nice to see you again,Bye for now.
goodbye,It was nice seeing you,Keep in touch.
goodbye,Goodnight,Get well soon!
goodbye,Catch you later,Take care my friend
goodbye,Later,Catch you later!
goodbye,Peace,Nice chatting with you.
goodbye,Peace out,Cheers.
goodbye,I'm out,See you
goodbye,I'm out of here,Have a good one
goodbye,I gotta jet,Hope all is well with you my friend!
thanks,Thanks,Happy to help!
thanks,Thank you,Any time!
thanks,That's helpful,My pleasure.
thanks,Thanks for the help,You're most welcome!
thanks,I'm so grateful,No problem.
thanks,Thank you very much,No worries.
thanks,Thank you a lot,Anytime my friend
thanks,Thanks a lot,I'm glad I could be of assistance.
thanks,Thanks so much,I'm happy to support the team.
thanks,I'm so grateful,That's why Im here it's not a problem
thanks,Thanks for having my back,I'm happy to help.
thanks,Much appreciated,I'll always be here for you.
thanks,Many thanks,Don't worry about it.
thanks,Thanks a bunch,I'm happy I was able to help you.
