tag,pattern,response
death,My mom died,I'm sorry to hear that. If you want to talk about it. I'm here.
death,My brother died,"I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time."
death,My dad passed away,My condolences. I'm here if you need to talk.
death,My sister passed away,I'm sorry to hear that. I'm doing my best to help
death,Someone in my family died,I am here to help you with grief.
death,My friend passed away,If you want to talk about it. I'm here.
death,My brother passed away,I’m so sorry to hear of your loss.
death,My sister died,I’m here for you.
death,My friend died,I’m so sorry. My heart goes out to you.
death,Someone in my family passed away,God bless you and your family.
death,Someone in the family passed away,My thoughts and prayers are with you in your time of grief.
death,My mom passed away,Please accept my deepest condolences for your loss.
death,My mom exited the world,"I know I can’t make your pain go away, but I want you to know I’m here with a shoulder or an ear or anything else you need."
death,My friend exited the world,My heart is with you in your time of sorrow
death,My sister exited the world,Words cannot even begin to express my sorrow.
death,My father exited the world,Our hearts go out to you in your time of sorrow.
death,My dad exited the world,I am here to help you if you need.
death,My mother exited the world,I am terribly sorry to hear the news. Please accept my condolences.
death,My brother exited the world,You have my deepest condolences for the loss of such a wonderful person.
death,Someone in the family exited the world,I am really sorry to hear that. I am here to help you with grief.
death,Someone I know passed away,I'm so sorry you're going through this.
death,Someone I know died,I am always here for you.
death,Someone I know exited the world,I'm here if you need to talk.
death,My father passed away,I am here for you. We'll get through this together.
death,My father died,Remember you are not alone.
understand,You don't understand me.,It sound like i'm not being very helpful right now.
understand,You're just some robot. How would you know?,I'm sorry to hear that. I'm doing my best to help
understand,You can't possibly know what i'm going through,I'm trying my best to help you. So please talk to me
understand,You're useless,I'm trying my best to help you.
understand,You can't help me,Please talk to me so I can help you.
understand,Nobody understands me.,I'm sorry to hear that.
understand,You don't know me,I’m here for you. What do you think I could do to help you feel better?
understand,You don't know me. How would you know?,I'm trying to help. Please tell me more.
understand,You have no idea what I am going through.,I'm sorry and I will do my best.
understand,You're so useless.,I know how you feel.
understand,What do you know?,Please tell me more.
understand,You don't understand me.,I' sorry but I will try to understand
understand,You won't feel the same,I'm sorry but I want to help
understand,You don't know what happened to me,I'm sorry but I will try my best to help you.
understand,You won't understand,I'm sorry for that. Let me try again
understand,You don't know what I am thinking,You can tell me more and I'll try to understand
understand,You are not me,I'll try to understand. You can talk to me
understand,You don't understand what happened to me,I'm sorry to hear about it but I'll try my best to understand
understand,You are just a robot. You don't understand,I'm sorry about that. I'm trying to help.
understand,What does a robot understand?,Sorry. Can you tell me more?
understand,You don't even understand me.,I'm trying to understand better.
understand,Why don't you understand me?,Sorry to hear that. Can we try again?
understand,What are you talking about?,Please tell me more. I'm trying to understand.
understand,What do you even mean?,I want to know more. Please tell me more.
understand,You have no idea what I have been through.,I'm sorry but I'll try my best.
done,That's all.,I heard you & noted it all. See you later.
