tag|pattern|response
user-advice|I want some advice.|Sure. what can I do to help?
user-advice|I need some advice.|Okay what do you need advice on?
user-advice|I optate some exhortation.|Could you tell me what do you need advice on?
user-advice|Could you give me some advice?|Could you tell me what do you require exhortation on?
user-advice|I require some exhortation.|No problem, are you having any difficulties right now?
user-advice|I want some exhortation.|Could you tell me why you said this?
user-advice|I wanna that you can give me some advice |No problem, but in what way?
user-advice|May I ask you for some advice?|OK, tell me what do you required?
user-advice|I want you give me advice?|So, what kind of advices you want?
user-advice|I need some exhortation?|I got you. Have you encountered any difficulties?
user-advice|Can you help me to give me some advice?|Yes, but what do you need advice on?
user-advice|I optate some advice?|Why do you say this or have you encountered any problems?
user-advice|Could you optate me some exhortation?|Sure, but what do you need advice on?
user-advice|Please give me some advice.|OK, could you please told me what kind of advice you required?
user-advice|I require some advice?|I got it. So what do you need advice on?
user-advice|I guess I need some advice.|Have you encountered any probl
user-advice|I guess I want some advice.|OK, could you tell the advice in what way?
user-advice|I think if you can give me some advice I will feel better.|Sure, please tell me your difficulties.
user-advice|If you give me some exhortation I will feel better.|No problem, tell me the problems you have encountered.
user-advice|Give me some exhortation please.|Sure, but you need to told me your situation first.
user-advice|I guess I optate some exhortation.|So why you said this? Is it because there are some difficulties?
user-advice|Could I get some advice from you?|Yes. Have you encountered any difficulties?
user-advice|I think you can give me some advice.|Sure, what kind of advice you need?
user-advice|I need some advice badly|I can help you but you need tell me what happened?
user-advice|I wanna get some advice from you.|No problem, Have you encountered some unsolvable problems?
meditation|Hmmm that sounds like it could be useful to me.|Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing.
meditation|That sounds useful.|By being calm in everything you encounter, you can achieve better results.
meditation|This should help me.|It would be great if that were the case.
meditation|That sounds serviceable.|I'm glad I could help you.
meditation|This should avail me.|I'm glad I could help you.
meditation|Maybe your advice will help me.|Do as I say and I'm sure it'll be all right.
meditation|Maybe your exhortation will avail me.|Do as I verbalize and I'm sure it'll be all right.
meditation|Does meditation really work?|I think so. It can calm you down.
meditation|Does rumination genuinely work?|I cerebrate so. It can pacify you.
meditation|Sounds good.|Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective.
meditation|I feel better now.|Your welcome. Recollect: Always fixate on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't obviate an inclemency from coming but you can prepare for it. You can't control how someone else comports, but you can control how you react. Agnize that sometimes, all you can control is your effort and your posture. When you put your energy into the things you can control, you'll be much more efficacious.
meditation|I feel much better after meditating.|Meditate regularly to keep your mind calm.
meditation|Why Meditation Works?|Because meditation triggers a series of biochemical and physical changes in the body collectively known as the 'relaxation response'.
meditation|Meditation seems to work.|There is, of course, a scientific basis for this.
meditation|I hope meditation will help me.|I think it's inevitable.
meditation|That sounds very effective.|This has to work.
meditation|Sounds great. I'll try it in a hurry.|I'm glad to hear that. I'm sure meditation will help you.
meditation|I will try.|I hope this helps.
meditation|I've never tried meditation, but it sounds good.|Meditation is a scientifically backed way to relax, so it should work.
meditation|It seems like meditation is really amazing.|Of course, this is an effective way.
meditation|Can I use meditation to prepare for a race?|A significant number of modern athletes have reported using meditation to prepare for a game, mentally rehearsing the movements and details of the game, which is believed to aid performance and calm nerves.
meditation|What are the benefits of meditation?|It makes it easier to stay objective in emotional or moral dilemmas and to reach a state of reactive, creative awareness or flow.
meditation|What are the benefits of cogitation?|It makes it more facile to stay objective in emotional or moral dilemmas and to reach a state of reactive, ingenious cognizance or flow.
meditation|I'm going to try meditation right now.|I believe meditation can bring you some benefits.
meditation|Meditation is a great way to relieve stress.|Certainly, research shows it's an effective way to do it.
meditation|Meditation sounds like a quick way to relax.|By being serene in everything you encounter, you can achieve better results.
learn-mental-health|I want to learn about mental health.|Oh that's really great. I'd be willing to answer anything that I know about it.
learn-mental-health|I want to learn more about mental health.|Oh that's genuinely great. I'd be disposed to answer anything that I ken about it.
learn-mental-health|I'm interested in learning about mental health.|I'm happy to help you.
learn-mental-health|I optate to learn about noetic health.|What do you want to know about mental health?
learn-mental-health|I optate to learn more about phrenic health.|I'm glad you're interested in it.
learn-mental-health|I'm fascinated with learning about noetic health.|I'm blissful to avail you.
learn-mental-health|I think mental health is interesting and I want to learn about it.|You can ask me if there's anything you want to know.
learn-mental-health|I cerebrate phrenic health is intriguing and I optate to learn about it.|You can ask me if there's anything you optate to ken.
learn-mental-health|I want to learn about meatal health, it should be good for me.|What can I do for you?
learn-mental-health|I optate to learn about meatal health, it should be good for me.|It's my pleasure to answer your questions.
learn-mental-health|Mental health is an interesting field and I want to learn about it.|I'm glad you are interested in it, and I will try my best to help you answer relevant questions.
learn-mental-health|Noetic health is an intriguing field and I optate to learn about it.|I'm ecstatic you are fascinated with it, and I will endeavor my best to avail you answer germane questions.
learn-mental-health|I think I should learn something about meatal health.|I hope I can provide you with some help.
learn-mental-health|I cerebrate I should learn something about meatal health.|I hope I can provide you with some avail.
learn-mental-health|I think learning about mental health will help me.|Exactly. Is there anything I can do to help?
learn-mental-health|I cerebrate learning about phrenic health will avail me.|Precisely. Is there anything I can do to avail?
learn-mental-health|The study of Mental health can help me better understand my own state, so I hope to learn related content.|I'm glad you're interested in it. I can help you learn.
learn-mental-health|The study of Phrenic health can avail me better understand my own state, so I hope to learn cognate content.|I'm ecstatic you're fascinated with it. I can avail you learn.
learn-mental-health|I wanted to learn about mental health because I thought it would help me.|I'm jubilant you're fascinated with it. I can avail you learn.
learn-mental-health|I wanted to learn about noetic health because I mentally conceived it would avail me.|I'm sure it will work for you.
learn-mental-health|The study of mental health related knowledge is essential to manage mental health.|That's true. If there's anything I can do to help you with your studies, I'll do my best.
