tag,patterns,responses
worthless,I feel so worthless.,It's only natural to feel this way. Tell me more. What else is on your mind?
worthless,No one likes me.,Let's discuss further why you're feeling this way.
worthless,I can't do anything.,I first want to let you know that you are not alone in your feelings and there is always someone there to help.
worthless,I am so useless,you can always change your feelings and change your way of thinking by being open to trying to change.
worthless,Nothing makes sense anymore,i first want to let you know that you are not alone in your feelings and there is always someone there to help.
worthless,the world doesn't need me,"you are more than that "
worthless,my teacher don't like me,"you are not alone "
worthless,my friends don't like me,please don't feel this way
worthless,my parents don't like me,"you are more than that, tell me more"
worthless,I feel my boyfriend don't really need me,"you are not alone, tell me more "
worthless,"I feel my girlfriend don't really need me ","You shouldn't feel that way, maybe she needs you"
worthless,"I don't think I fit in the team at work ",why makes you think so?
worthless,"my manager don't like me ",why do you think so?
worthless,"my girlfriend don't like me ",what really happened between you two?
worthless,"my boyfriend don't like me ",what really happened between your boyfriend?
worthless,"I feel my team at work don't need me ","you are one of important member of the team of course they need you "
worthless,"my project team at school don't need me ",you are one of the team member of course they need you
worthless,"nothing is right for me ",why you say so?
worthless,I am just a useless person,"I think you are more than that "
worthless,I am so worthless,"I actually think you are more than that "
worthless,I don't worth a dime,what makes you say so?
worthless,"I am not helpful at all when I do work with my team ",why you think you are not helpful at all?
worthless,I am useless at work,tell me why you feel so?
worthless,I am useless at school,tell me why you think so?
worthless,I am useless around my house,why do you think so?
depressed,I can't take it anymore,It helps to talk about what's happening. You're going to be okay
depressed,I am so depressed,Talk to me. Tell me more. It helps if you open up yourself to someone else.
depressed,I think i'm depressed.,"Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal."
depressed,I have depression,"Everything will be ok "
depressed,"I feel a little depressed recently ","No worries I am here to help you "
depressed,I think I am going through a depression,"You are going to be ok "
depressed,I feel a little depressed,"Don't panic, it will be over evently"
depressed,"I am sad and depressed ",Let me know what makes you feel this way?
depressed,I feel discouraged,"It will be ok, tell me more about it?"
depressed,"I felt discouraged recently ","Don't worry, we can talk about what happen"
depressed,I think I am going through a sadness,"Don't panic, we can talk about what happen"
depressed,I can't take it any longer,"Don't worry, please share what have happened to you"
depressed,I have depression and I can't take it anymore,"No worries, share what have happeded to you "
depressed,I think I have depression and I can't take it any longer,"I can’t imagine how you feel, but I’m here for you if you need me."
depressed,I am so discouraged,"I wish I had the right words to say, but just know that I care about you."
depressed,I have discouragement,"Sorry to hear, but tell me what happened"
depressed,I feel a small discouraged as of late,"Sorry to hear, and I want to help you feel better"
depressed,"I felt a bit depressed lately ",Do you want to talk about it?
depressed,I felt a bit discouraged lately,Is there anything you need from me?
depressed,I think I am going through a misery,"I know things are difficult right now, but I have confidence in you."
depressed,I am going through a depressed time of my life,"Sorry to hear that, what can I do to make this easier"
depressed,I am going through a hard time of my life,"Sorry to hear that, what can I do to make you feel better"
depressed,I am going through a discouraged time of my life,"Don't panic, I know you’re strong enough to get through this."
depressed,"I feel very discouraged and I can't take it ",How can I help you?
